file_LAC, th1_LAC,vsum_LAC, vavg_LAC, vmed_LAC, vstd_LAC, vvar_LAC, vmax_LAC, vmin_LAC, totalpix_LAC, nanpix_LAC, statipix_LAC,file_GAC, th1_GAC,vsum_GAC, vavg_GAC, vmed_GAC, vstd_GAC, vvar_GAC, vmax_GAC, vmin_GAC, totalpix_GAC, nanpix_GAC, statipix_GAC
S20030912003120.MON.chlor_a.csv,15-20,1890.088514,16.87579031,16.66494446,1.390425276,1.933282447,19.9329586,15.03275855,985680,392653,112,S20030912003120.MON.chlor_a.csv,15-20,17506.4945,16.88186548,16.75684798,1.253111427,1.570288249,19.33515358,15.00146844,985680,422627,1037
S20030912003120.MON.chlor_a.csv,20-25,577.76462,23.1105848,23.47501532,1.499441244,2.248324045,24.85845915,20.20726286,985680,392653,25,S20030912003120.MON.chlor_a.csv,20-25,2382.421119,21.27161714,21.19095612,0.679898032,0.462261333,22.95295763,20.14796052,985680,422627,112
S20030912003120.MON.chlor_a.csv,25-30,248.7108704,27.63454116,27.06093216,1.344234747,1.806967055,29.53652,26.20344162,985680,392653,9,S20030912003120.MON.chlor_a.csv,25-30,935.2070302,27.50608912,27.59807968,0.295504116,0.087322683,27.82492399,26.44639009,985680,422627,34
S20030912003120.MON.chlor_a.csv,30-35,61.17106557,30.58553278,30.58553278,0.46707499,0.218159047,31.05260777,30.11845779,985680,392653,2,S20030912003120.MON.chlor_a.csv,30-35,864.2824428,30.8672301,30.18107224,0.88166011,0.777324549,32.18688488,30.18107224,985680,422627,28
S20030912003120.MON.chlor_a.csv,35-40,37.38623428,37.38623428,37.38623428,0,0,37.38623428,37.38623428,985680,392653,1,S20030912003120.MON.chlor_a.csv,35-40,952.9777222,35.29547119,35.29547119,0,0,35.29547119,35.29547119,985680,422627,27
S20030912003120.MON.chlor_a.csv,40-45,0,0,0,0,0,0,0,985680,392653,0,S20030912003120.MON.chlor_a.csv,40-45,0,0,0,0,0,0,0,985680,422627,0
S20030912003120.MON.chlor_a.csv,45-50,47.94662094,47.94662094,47.94662094,0,0,47.94662094,47.94662094,985680,392653,1,S20030912003120.MON.chlor_a.csv,45-50,541.8272007,45.15226672,45.05934286,0.308193577,0.094983281,46.17442918,45.05934286,985680,422627,12
S20030912003120.MON.chlor_a.csv,50-55,0,0,0,0,0,0,0,985680,392653,0,S20030912003120.MON.chlor_a.csv,50-55,0,0,0,0,0,0,0,985680,422627,0
S20030912003120.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,392653,0,S20030912003120.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,422627,0
S20030912003120.MON.chlor_a.csv,60-65,0,0,0,0,0,0,0,985680,392653,0,S20030912003120.MON.chlor_a.csv,60-65,0,0,0,0,0,0,0,985680,422627,0
S20030912003120.MON.chlor_a.csv,65-70,132.1911926,66.09559631,66.09559631,0,0,66.09559631,66.09559631,985680,392653,2,S20030912003120.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,422627,0
S20031212003151.MON.chlor_a.csv,0-5,473040.4635,0.827763696,0.754961699,0.453324617,0.205503209,4.998554006,0.100377969,985680,411907,571468,S20031212003151.MON.chlor_a.csv,0-5,442210.7291,0.815712373,0.759304196,0.391462597,0.153242965,4.910462856,0.182216555,985680,443438,542116
S20031212003151.MON.chlor_a.csv,5-10,12361.58317,6.506096406,6.152633667,1.248070507,1.55767999,9.999887943,5.000050378,985680,411907,1900,S20031212003151.MON.chlor_a.csv,5-10,798.7425795,6.339226822,5.909662724,0.857911667,0.736012429,9.047087669,5.369146883,985680,443438,126
S20031212003151.MON.chlor_a.csv,10-15,3027.794986,12.06292823,11.74632396,1.360058547,1.849759251,14.98594552,10.00919011,985680,411907,251,S20031212003151.MON.chlor_a.csv,10-15,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,15-20,1494.161138,17.17426595,16.79060173,1.440496205,2.075029316,19.99852928,15.07427216,985680,411907,87,S20031212003151.MON.chlor_a.csv,15-20,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,20-25,400.5370608,22.25205893,22.70495844,1.212954498,1.471258614,24.36609936,20.52347374,985680,411907,18,S20031212003151.MON.chlor_a.csv,20-25,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,25-30,372.3155907,26.59397077,25.97322114,1.519929914,2.310186943,29.96940231,25.06597328,985680,411907,14,S20031212003151.MON.chlor_a.csv,25-30,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,30-35,579.2794687,32.18219271,32.58355987,1.464818956,2.145694575,33.92955637,30.00278544,985680,411907,18,S20031212003151.MON.chlor_a.csv,30-35,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,35-40,333.7153368,37.07948186,36.57106018,1.297462546,1.683409058,39.72025681,35.56786728,985680,411907,9,S20031212003151.MON.chlor_a.csv,35-40,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,40-45,0,0,0,0,0,0,0,985680,411907,0,S20031212003151.MON.chlor_a.csv,40-45,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,45-50,185.214798,46.30369949,45.12176132,2.047176964,4.190933523,49.84951401,45.12176132,985680,411907,4,S20031212003151.MON.chlor_a.csv,45-50,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,50-55,54.83271281,54.83271281,54.83271281,0,0,54.83271281,54.83271281,985680,411907,1,S20031212003151.MON.chlor_a.csv,50-55,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,411907,0,S20031212003151.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,443438,0
