Month,YMonth,fileLAC,sumLAC,meanLAC,medianLAC,stdLAC,varLAC,maxLAC,minLAC,totalpixLAC,nanpixLAC,statipixLAC,percentLAC,fileGAC,sumGAC,meanGAC,medianGAC,stdGAC,varGAC,maxGAC,minGAC,totalpixGAC,nanpixGAC,statipixGAC,percentGAC,sumDIFF,meanDIFF,medianDIFF,stdDIFF,varDIFF,maxDIFF,minDIFF,totalpixDIFF,nanpixDIFF,statipixDIFF,percentDIFF
Nov,04Nov,S20043062004335.MON.chlor_a.csv,23493.4936189,8.2636277239,6.5474574907,5.0395649432,25.3972148167,67.2407302856,5.0001593317,985680,387973,2843,0.4756511133,S20043062004335.MON.chlor_a.csv,6451.36262576,9.9099272285,7.8579154015,5.3033112014,28.125109699,22.8842592239,5.0423121452,985680,423075,651,0.1157117338,17042.13099314,-1.6462995046,-1.3104579108,-0.2637462582,-2.7278948823,44.3564710617,-0.0421528135,0,-35102,2192,0.3599393795
Dec,04Dec,S20043362004366.MON.chlor_a.csv,40874.5809191,9.0590826505,7.2073582411,5.8515678975,34.2408468592,96.3672332764,5.000014027,985680,425389,4512,0.8052958195,S20043362004366.MON.chlor_a.csv,8586.55899981,8.4264563296,6.7831200063,4.2064266244,17.6940249467,29.3899936676,5.0000331998,985680,474126,1019,0.1991969567,32288.02191929,0.632626321,0.4242382348,1.6451412731,16.5468219125,66.9772396088,-1.91727900000771E-05,0,-48737,3493,0.6060988628
Jan,05Jan,S20050012005031.MON.chlor_a.csv,10380.8193374,8.9412741924,6.3018888474,8.550484226,73.1107804995,87.6893157959,5.0003466606,985680,617035,1161,0.3149371346,S20050012005031.MON.chlor_a.csv,1425.40560926,6.7554768211,6.7017717362,1.276475301,1.6293891941,11.2572040558,5.0117516518,985680,619145,211,0.057566126,8955.41372814,2.1857973713,-0.3998828888,7.274008925,71.4813913054,76.4321117401,-0.0114049912,0,-2110,950,0.2573710086
Feb,05Feb,S20050322005059.MON.chlor_a.csv,11296.7339827,10.0773719739,7.8722734451,6.8102902241,46.3800529365,68.9825744629,5.0049616098,985680,660656,1121,0.3448976076,S20050322005059.MON.chlor_a.csv,2042.68545428,6.719360047,5.5893101454,3.1859712575,10.1504128538,16.5846538544,5.0083683332,985680,637942,304,0.0874221397,9254.04852842,3.3580119269,2.2829632997,3.6243189666,36.2296400827,52.3979206085,-0.0034067234,0,22714,817,0.2574754679
Mar,05Mar,S20050602005090.MON.chlor_a.csv,21275.5264663,12.7169913128,8.6806361675,10.9688240064,120.315100083,85.4209365845,5.0015025139,985680,633610,1673,0.475189593,S20050602005090.MON.chlor_a.csv,4782.02903109,9.4881528395,5.9012212753,8.0300972848,64.4824624028,55.9794654846,5.0057722231,985680,412808,504,0.0879777682,16493.49743521,3.2288384733,2.7794148922,2.9387267216,55.8326376802,29.4414710999,-0.0042697092,0,220802,1169,0.3872118248
Apr,05Apr,S20050912005120.MON.chlor_a.csv,37349.7048578,8.119501056,6.412768205,5.476921512,29.996669248,84.7863845825,5.0002273619,985680,392407,4600,0.7753597416,S20050912005120.MON.chlor_a.csv,21268.1647707,7.5957731324,6.2470704019,3.2784421018,10.748182615,21.4072942585,5.004661262,985680,411813,2800,0.4879179322,16081.5400871,0.5237279236,0.1656978031,2.1984794102,19.248486633,63.379090324,-0.0044339001,0,-19406,1800,0.2874418094
May,05May,S20051212005151.MON.chlor_a.csv,37877.6786963,7.2520924175,5.8957066536,4.4077062806,19.427874656,80.4225082397,5.0000080168,985680,398970,5223,0.8902183361,S20051212005151.MON.chlor_a.csv,10760.1046478,6.2961408121,5.9796372056,1.1544589674,1.3327755074,9.6910648644,5.0014947295,985680,412361,1709,0.2980888476,27117.5740485,0.9559516054,-0.083930552,3.2532473132,18.0950991486,70.7314433753,-0.0014867127,0,-13391,3514,0.5921294886
Jun,05Jun,S20051522005181.MON.chlor_a.csv,4253.43200562,9.1866781979,6.7161616087,6.6338604617,44.0081046248,64.078086853,5.0021556616,985680,672690,463,0.1479280488,S20051522005181.MON.chlor_a.csv,494.164557695,6.5888607693,6.0073862076,1.1396462807,1.298793645,8.0491952896,5.1213667393,985680,567869,75,0.0179507002,3759.267447925,2.5978174286,0.7087754011,5.494214181,42.7093109798,56.0288915634,-0.1192110777,0,104821,388,0.1299773486
Jul,05Jul,S20051822005212.MON.chlor_a.csv,14211.7782257,10.2760507778,7.1425919533,9.3593390952,87.5972282988,97.2804718018,5.0002932549,985680,469933,1383,0.2681547348,S20051822005212.MON.chlor_a.csv,1683.52153724,7.6873129555,7.815974474,1.7892024548,3.2012454243,10.9049196243,5.5333355665,985680,570298,219,0.0527225542,12528.25668846,2.5887378224,-0.6733825207,7.5701366404,84.3959828745,86.3755521775,-0.5330423116,0,-100365,1164,0.2154321806
Aug,05Aug,S20052132005243.MON.chlor_a.csv,24629.9838635,10.9320833837,7.9761400223,8.0440062285,64.7060362036,69.9899673462,5.0008244515,985680,394813,2253,0.3813040837,S20052132005243.MON.chlor_a.csv,3627.30778482,7.4789851233,6.6847262383,2.7503556704,7.5644563137,16.5680599213,5.0114595095,985680,414279,485,0.0848790954,21002.67607868,3.4530982604,1.2914137841,5.2936505581,57.1415798899,53.4219074249,-0.010635058,0,-19466,1768,0.2964249882
Sep,05Sep,S20052442005273.MON.chlor_a.csv,24816.3131263,12.7787400238,9.0665889879,10.7957321068,116.547831723,99.7157058716,5.0025544961,985680,397279,1942,0.3300470258,S20052442005273.MON.chlor_a.csv,8684.70214752,10.7483937469,6.8416948319,12.6385678827,159.733398127,65.1255187988,5.0228954256,985680,422359,808,0.143435093,16131.61097878,2.0303462769,2.2248941561,-1.8428357759,-43.185566404,34.5901870728,-0.0203409295,0,-25080,1134,0.1866119328
Oct,05Oct,S20052742005304.MON.chlor_a.csv,24075.4425407,9.3934617795,7.3668438196,5.6178880258,31.5606658699,73.3038635254,5.0012382099,985680,389116,2563,0.4296269973,S20052742005304.MON.chlor_a.csv,6491.09785752,12.0428531679,6.5606822968,15.8978315073,252.741046634,78.8391342163,5.0019195875,985680,404006,539,0.0926635882,17584.34468318,-2.6493913884,0.8061615229,-10.2799434815,-221.1803807641,-5.5352706909,-0.0006813775,0,-14890,2024,0.3369634091
Nov,05Nov,S20053052005334.MON.chlor_a.csv,84416.8964073,9.5246413638,7.9935584545,5.3159586618,28.259416494,71.9108810425,5.0006534788,985680,424859,8863,1.5803616484,S20053052005334.MON.chlor_a.csv,49652.0927259,9.5393069598,8.0931396484,4.9369578367,24.3735526814,78.4590988159,5.0019777499,985680,477776,5205,1.0247999622,34764.8036814,-0.014665596,-0.0995811939,0.3790008251,3.8858638126,-6.5482177734,-0.001324271,0,-52917,3658,0.5555616862
