Month YMonth fileLAC sumLAC meanLAC medianLAC stdLAC varLAC maxLAC minLAC totalpixLAC nanpixLAC statipixLAC percentLAC fileGAC sumGAC meanGAC medianGAC stdGAC varGAC maxGAC minGAC totalpixGAC nanpixGAC statipixGAC percentGAC sumDIFF meanDIFF medianDIFF stdDIFF varDIFF maxDIFF minDIFF totalpixDIFF nanpixDIFF statipixDIFF percentDIFF
Dec 04Dec S20043362004366.MON.chlor_a.csv 506080.462627 0.9032457466 0.7285208702 1.0461747366 1.0944815795 96.3672332764 0.001 985680 425389 560291 100 S20043362004366.MON.chlor_a.csv 359418.7795 0.702601836 0.588676751 0.571337514 0.326426555 29.38999367 0.115128264 985680 474126 511554 100 146661.683127 0.2006439106 0.1398441192 0.4748372226 0.7680550245 66.9772396064 -0.114128264 0 -48737 48737 0
Jan 05Jan S20050012005031.MON.chlor_a.csv 212145.342582 0.5754732672 0.4514819145 0.793428101 0.6295281514 87.6893157959 0.001 985680 617035 368645 100 S20050012005031.MON.chlor_a.csv 175978.8098 0.480114613 0.420798779 0.320319184 0.102604379 11.25720406 0.082119152 985680 619145 366535 100 36166.532782 0.0953586542 0.0306831355 0.473108917 0.5269237724 76.4321117359 -0.081119152 0 -2110 2110 0
Feb 05Feb S20050322005059.MON.chlor_a.csv 157740.727858 0.4853202467 0.3731002212 0.7770038059 0.6037349144 68.9825744629 0.001 985680 660656 325024 100 S20050322005059.MON.chlor_a.csv 161415.6492 0.464187547 0.389048703 0.402160902 0.161733391 16.58465385 0.103041358 985680 637942 347738 100 -3674.921342 0.0211326997 -0.0159484818 0.3748429039 0.4420015234 52.3979206129 -0.102041358 0 22714 -22714 0
Mar 05Mar S20050602005090.MON.chlor_a.csv 259699.4707 0.7376358983 0.5665732622 1.2079510139 1.459145652 85.4209365845 0.001 985680 633610 352070 100 S20050602005090.MON.chlor_a.csv 386506.1191 0.674681463 0.573761851 0.536498465 0.287830603 55.97946548 0.179998547 985680 412808 572872 100 -126806.6484 0.0629544353 -0.0071885888 0.6714525489 1.171315049 29.4414711045 -0.178998547 0 220802 -220802 0
Apr 05Apr S20050912005120.MON.chlor_a.csv 605917.585127 1.0213132658 0.8530609131 0.9807460027 0.9618627219 84.7863845825 0.2111377716 985680 392407 593273 100 S20050912005120.MON.chlor_a.csv 582392.5302 1.014856282 0.886975735 0.744495344 0.554273317 21.40729426 0.234846339 985680 411813 573867 100 23525.054927 0.0064569838 -0.0339148219 0.2362506587 0.4075894049 63.3790903225 -0.0237085674 0 -19406 19406 0
May 05May S20051212005151.MON.chlor_a.csv 521736.961854 0.8892586829 0.5643482735 1.0368936086 1.0751483556 80.4225082397 0.1294834465 985680 398970 586710 100 S20051212005151.MON.chlor_a.csv 461934.0057 0.80571899 0.589519203 0.705540119 0.49778686 9.691064864 0.136225894 985680 412361 573319 100 59802.956154 0.0835396929 -0.0251709295 0.3313534896 0.5773614956 70.7314433757 -0.0067424475 0 -13391 13391 0
Jun 05Jun S20051522005181.MON.chlor_a.csv 98947.9039131 0.3161375888 0.244323959 0.5224394731 0.2729430031 64.078086853 0.0623417422 985680 672690 312990 100 S20051522005181.MON.chlor_a.csv 165109.2884 0.395176978 0.323453903 0.25246179 0.063736955 8.04919529 0.099228434 985680 567869 417811 100 -66161.3844869 -0.0790393892 -0.079129944 0.2699776831 0.2092060481 56.028891563 -0.0368866918 0 104821 -104821 0
Jul 05Jul S20051822005212.MON.chlor_a.csv 192125.771207 0.3725194159 0.2791044712 0.7754948373 0.6013922427 97.2804718018 0.060896825 985680 469933 515747 100 S20051822005212.MON.chlor_a.csv 133536.6038 0.321479033 0.272576049 0.276113753 0.076238805 10.90491962 0.098564722 985680 570298 415382 100 58589.167407 0.0510403829 0.0065284222 0.4993810843 0.5251534377 86.3755521818 -0.037667897 0 -100365 100365 0
Aug 05Aug S20052132005243.MON.chlor_a.csv 262262.21899 0.4438599871 0.2913026139 0.9070463461 0.8227330739 69.9899673462 0.0739980489 985680 394813 590867 100 S20052132005243.MON.chlor_a.csv 213955.2376 0.374439733 0.294261152 0.366529131 0.134343604 16.56805992 0.114053018 985680 414279 571401 100 48306.98139 0.0694202541 -0.0029585381 0.5405172151 0.6883894699 53.4219074262 -0.0400549691 0 -19466 19466 0
Sep 05Sep S20052442005273.MON.chlor_a.csv 302210.131815 0.5136125394 0.381805102 1.0148954331 1.0300127402 99.7157058716 0.0848430023 985680 397279 588401 100 S20052442005273.MON.chlor_a.csv 252316.9616 0.447909738 0.350345908 0.696835647 0.485579919 65.1255188 0.095001668 985680 422359 563321 100 49893.170215 0.0657028014 0.031459194 0.3180597861 0.5444328212 34.5901870716 -0.0101586657 0 -25080 25080 0
Oct 05Oct S20052742005304.MON.chlor_a.csv 378590.597696 0.6346185786 0.458510561 0.8265452561 0.6831770604 73.3038635254 0.0379355177 985680 389116 596564 100 S20052742005304.MON.chlor_a.csv 339030.5429 0.582853184 0.450882524 0.710519514 0.50483798 78.83913422 0.126007304 985680 404006 581674 100 39560.054796 0.0517653946 0.007628037 0.1160257421 0.1783390804 -5.5352706946 -0.0880717863 0 -14890 14890 0
Nov 05Nov S20053052005334.MON.chlor_a.csv 653581.81726 1.1654018256 0.8812088172 1.3680904783 1.8716715569 71.9108810425 0.0479273163 985680 424859 560821 100 S20053052005334.MON.chlor_a.csv 535823.1652 1.054969375 0.839364206 1.110455475 1.233111361 78.45909882 0.127265364 985680 477776 507904 100 117758.65206 0.1104324506 0.0418446112 0.2576350033 0.6385601959 -6.5482177775 -0.0793380477 0 -52917 52917 0
Dec 05Dec S20053352005365.MON.chlor_a.csv 275584.255356 0.7617601517 0.5343775868 1.024277223 1.0491438295 99.9407806396 0.0123692183 985680 623907 361773 100 S20053352005365.MON.chlor_a.csv 187584.7842 0.640953938 0.503123067 0.680548104 0.463145721 35.90987778 0.103368044 985680 693015 292665 100 87999.471156 0.1208062137 0.0312545198 0.343729119 0.5859981085 64.0309028596 -0.0909988257 0 -69108 69108 0
Jan 06Jan S20060012006031.MON.chlor_a.csv 310837.455854 0.609315555 0.4798269339 0.7488934108 0.5608413407 92.6855316162 0.0214473642 985680 475538 510142 100 S20060012006031.MON.chlor_a.csv 233282.2572 0.526529958 0.44730732 0.391457717 0.153239144 20.06673241 0.080289044 985680 542624 443056 100 77555.198654 0.082785597 0.0325196139 0.3574356938 0.4076021967 72.6187992062 -0.0588416798 0 -67086 67086 0
